Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Equity Only Funding,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Vi Labs,https://www.crunchbase.com/funding_round/vi-558e-seed--2621f715,Vi Labs,https://www.crunchbase.com/organization/vi-558e,Seed,16000000,USD,16000000,2016-03-24,Seed,Yes,,,,VI is the leading Enterprise-AI platform in the health sector.,"Artificial Intelligence (AI), Fitness, Health Care, Information Technology, Life Science, Pharmaceutical, Software, Web Development, Wellness",,"New York, New York, United States, North America",https://vi.co/,$100M to $500M,,6,149665676,USD,149665676,Square Peg Capital,"Atomics 14 Ventures, Cerca Partners, Square Peg Capital, Triventures, Wellborn Ventures, World Trade Ventures",6,3,"69,101"
Secondary Market - MuleSoft,https://www.crunchbase.com/funding_round/mulesoft-secondary-market--a75003c5,MuleSoft,https://www.crunchbase.com/organization/mulesoft,Secondary Market,,,,2016-03-20,,No,,,,MuleSoft provides an integration and API platform that makes it easy to connect data from any system to create connected experiences.,"Apps, Cloud Infrastructure, Data Integration, Developer APIs, Enterprise Software, Robotic Process Automation (RPA)",,"San Francisco, California, United States, North America",http://www.mulesoft.com,$1B to $10B,M&A,8,259000000,USD,259000000,,"Employee Stock Option Fund, Greenspring Associates",2,1,"69,068"
Corporate Round - Galaxy Bot,https://www.crunchbase.com/funding_round/galaxy-bot-corporate-round--2a46711a,Galaxy Bot,https://www.crunchbase.com/organization/galaxy-bot,Corporate Round,,,,2023-10-27,,Yes,,,,Galaxy Bot is an innovative robotics company that provides intelligent universal service robotic products.,"Intelligent Systems, Manufacturing, Robotics",,"Beijing, Beijing, China, Asia",http://www.galbot.com,,Seed,2,700000000,CNY,96406782,Meituan,Meituan,1,,"69,259"
Angel Round - Kaiosi Data Technology,https://www.crunchbase.com/funding_round/kaiosi-data-technology-angel--c78f482b,Kaiosi Data Technology,https://www.crunchbase.com/organization/kaiosi-data-technology,Angel,,,,2019-11-01,Seed,Yes,,,,Kaiosi Data Technology is a big data analytics platform specializing in intelligent operations and industrial Internet of Things solutions.,"Big Data, Intelligent Systems, Internet of Things, Software",,"Nanjing, Jiangsu, China, Asia",http://www.njchaos.com,,Early Stage Venture,3,100000000,CNY,13674840,Bondshine Capital,"Bondshine Capital, Ralph Investment Management",2,,"69,403"
Series A - Vi Labs,https://www.crunchbase.com/funding_round/vi-558e-series-a--cc3767fc,Vi Labs,https://www.crunchbase.com/organization/vi-558e,Series A,20000000,USD,20000000,2018-01-03,Early Stage Venture,Yes,,,,VI is the leading Enterprise-AI platform in the health sector.,"Artificial Intelligence (AI), Fitness, Health Care, Information Technology, Life Science, Pharmaceutical, Software, Web Development, Wellness",,"New York, New York, United States, North America",https://vi.co/,$100M to $500M,,6,149665676,USD,149665676,,"Cerca Partners, FGI Capital Partners, Joy Ventures, New Era Ventures, Square Peg Capital, Triventures, Wellborn Ventures",7,3,"70,894"
Product Crowdfunding - Vi Labs,https://www.crunchbase.com/funding_round/vi-558e-product-crowdfunding--df936791,Vi Labs,https://www.crunchbase.com/organization/vi-558e,Product Crowdfunding,1000,USD,1000,2016-06-05,,No,,,,VI is the leading Enterprise-AI platform in the health sector.,"Artificial Intelligence (AI), Fitness, Health Care, Information Technology, Life Science, Pharmaceutical, Software, Web Development, Wellness",,"New York, New York, United States, North America",https://vi.co/,$100M to $500M,,6,149665676,USD,149665676,,,,,"71,009"
Seed Round - Medeloop,https://www.crunchbase.com/funding_round/medeloop-seed--cefd8d5d,Medeloop,https://www.crunchbase.com/organization/medeloop,Seed,8000000,USD,8000000,2023-09-20,Seed,Yes,,,,"Data infrastructure, designed for early-stage researchers","Data Integration, Data Visualization, Database, Electronic Health Record (EHR), Health Care, Machine Learning, Software",,"Menlo Park, California, United States, North America",https://medeloop.ai,$1M to $10M,Seed,1,8000000,USD,8000000,General Catalyst,"General Catalyst, Kenneth Frazier, Linda S. Grais, Maven Ventures, NV Investments, OVO Fund",6,2,"73,978"
Private Equity Round - Augur,https://www.crunchbase.com/funding_round/augur-2-private-equity--35db0fc6,Augur,https://www.crunchbase.com/organization/augur-2,Private Equity,,,,2019-07-01,Private Equity,Yes,,,,"Augur is an open-source, decentralized prediction market platform.","Bitcoin, Internet, Market Research, Prediction Markets, Predictive Analytics",,"San Francisco, California, United States, North America",http://www.augur.net,$10M to $50M,Private Equity,4,5300000,USD,5300000,,Starchain Capital,1,,"74,564"
Venture Round - Camio,https://www.crunchbase.com/funding_round/camio-series-unknown--8bc79cda,Camio,https://www.crunchbase.com/organization/camio,Venture - Series Unknown,,,,2016-01-01,,Yes,,,,The real-time video search engine that powers cost-effective remote video monitoring.,"Machine Learning, SaaS, Security, Software, Video",,"San Mateo, California, United States, North America",https://camio.com,$1M to $10M,,2,1600000,USD,1600000,,M2O,1,,"74,583"
Seed Round - Neoglyphic Entertainment,https://www.crunchbase.com/funding_round/neoglyphic-entertainment-seed--ba981f90,Neoglyphic Entertainment,https://www.crunchbase.com/organization/neoglyphic-entertainment,Seed,,,,2016-01-01,Seed,Yes,,,,"Neoglyphic Entertainment is a company built on real-time 3D development, machine learning and computer vision.","3D Technology, Computer Vision, Digital Entertainment, Machine Learning, Publishing, Search Engine, Software, Video Games, Virtual Reality, Web Development",,"Campbell, California, United States, North America",http://www.neoglyphic.com,Less than $1M,Seed,2,2430000,USD,2430000,,Rivet Ventures,1,,"76,512"
Venture Round - Rallio,https://www.crunchbase.com/funding_round/rallio-series-unknown--b2fbacb0,Rallio,https://www.crunchbase.com/organization/rallio,Venture - Series Unknown,,,,2016-01-01,,Yes,,,,"Rallio is AI-enabled, social media technology that offers businesses a way to manage their social media across all their locations/agents.","Analytics, Artificial Intelligence (AI), Asset Management, Digital Marketing, Reputation, SaaS, Social Media Management, Software",,"Irvine, California, United States, North America",http://www.rallio.com,$1M to $10M,,1,,,,,Pacific Arc Investments,1,,"79,686"
Venture Round - Tamber,https://www.crunchbase.com/funding_round/tamber-series-unknown--8728c833,Tamber,https://www.crunchbase.com/organization/tamber,Venture - Series Unknown,,,,2016-01-01,,Yes,,,,Tamber is a hosted platform for developers that offers to personalize their apps in real-time.,"Artificial Intelligence (AI), Information Technology, Software, Software Engineering",,"San Francisco, California, United States, North America",https://www.tamber.com,$1M to $10M,M&A,1,,,,,Product Co-op,1,,"81,952"
Angel Round - BlinqIO,https://www.crunchbase.com/funding_round/blinqio-angel--21e9277b,BlinqIO,https://www.crunchbase.com/organization/blinqio,Angel,,,,2023-11-07,Seed,Yes,,,,BlinqIO leverages Generative AI into the software testing world.,"Artificial Intelligence (AI), Generative AI, Software",Women Founded,"Wilmington, Delaware, United States, North America",https://blinq.io/,$1M to $10M,Seed,2,5000000,USD,5000000,,,,,"82,721"
Seed Round - Kythera,https://www.crunchbase.com/funding_round/kythera-bf9b-seed--0120b2e0,Kythera,https://www.crunchbase.com/organization/kythera-bf9b,Seed,,,,2022-03-28,Seed,Yes,,,,"Kythera is a healthcare data science platform co. that improves quality, integration & speeds decision making by uncovering hidden data.","Analytics, Big Data, Data Visualization, Electronic Health Record (EHR), Health Care, Hospital, Machine Learning, Pharmaceutical, Software",,"Franklin, Tennessee, United States, North America",https://www.kytheralabs.com/,,,5,29189312,USD,29189312,Espresso Capital,Espresso Capital,1,1,"83,050"
Venture Round - Biota Technology,https://www.crunchbase.com/funding_round/biota-technology-series-unknown--90a04d70,Biota Technology,https://www.crunchbase.com/organization/biota-technology,Venture - Series Unknown,,,,2016-01-01,,Yes,,,,Biota is pioneering biosurveillance across industrial sectors,"Bioinformatics, Biotechnology, Energy, Predictive Analytics, Renewable Energy",,"San Diego, California, United States, North America",http://www.biota.com,Less than $1M,,3,1433559,USD,1433559,Illumina Ventures,"Illumina Ventures, XSeed Capital",2,,"84,148"
Series A - 1inch Limited,https://www.crunchbase.com/funding_round/1inch-limited-series-a--13745809,1inch Limited,https://www.crunchbase.com/organization/1inch-limited,Series A,12000000,USD,12000000,2020-12-02,Early Stage Venture,Yes,,,,1inch Limited works with multiple developers and other professionals to develop software and offer it on the SaaS basis.,"Artificial Intelligence (AI), Blockchain, Content Delivery Network, Cryptocurrency, Decentralized Finance (DeFi), Information Services, Information Technology, Non Profit, Open Source, Software",,"Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis, North America",https://1inch.io,$10M to $50M,,9,192600000,USD,192600000,Pantera Capital,"Blockchain Capital, Cashican People LLC, Fabric Ventures, gumi Cryptos Capital (gCC), Nima Capital, Pantera Capital, ParaFi Capital, Republic capital, Rockaway Blockchain Fund, Spearhead, Struck Crypto, The Spartan Group",12,1,"84,454"
Post-IPO Secondary - Apple,https://www.crunchbase.com/funding_round/apple-post-ipo-secondary--03526bea,Apple,https://www.crunchbase.com/organization/apple,Post-IPO Secondary,15000000,USD,15000000,2019-03-25,,No,,,,"Apple is a corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Artificial Intelligence (AI), Consumer Electronics, Hardware, Mobile Devices, Operating Systems, Wearables",,"Cupertino, California, United States, North America",http://www.apple.com,$10B+,IPO,7,1170230000,USD,1170230000,,Sajad Shirazi Maqam,1,,"85,121"
Seed Round - Banana,https://www.crunchbase.com/funding_round/banana-d87d-seed--37fe61fc,Banana,https://www.crunchbase.com/organization/banana-d87d,Seed,,,,2023-01-01,Seed,Yes,,,,"Banana is an ML API for developers to run ML workloads from a single line of code, without any learning curve.","Developer APIs, Information Technology, Machine Learning, Software",,"San Francisco, California, United States, North America",https://www.banana.dev,,Seed,3,3400000,USD,3400000,,"Founders, Inc., Spice Capital",2,,"87,302"
Seed Round - Ingentium,https://www.crunchbase.com/funding_round/ingentium-inc-seed--e77159fc,Ingentium,https://www.crunchbase.com/organization/ingentium-inc,Seed,,,,2016-01-01,Seed,Yes,,,,Ingentium uses machine intelligence to create disease focused knowledgebases and knowledge graphs to power drug discovery.,"Artificial Intelligence (AI), Content Discovery, Machine Learning",,"Boston, Massachusetts, United States, North America",http://www.ingentium.com,Less than $1M,Seed,1,,,,Seneca Creek Ventures,Seneca Creek Ventures,1,,"91,201"
Pre Seed Round - Kalendar AI,https://www.crunchbase.com/funding_round/kalendar-ai-pre-seed--eb90abc6,Kalendar AI,https://www.crunchbase.com/organization/kalendar-ai,Pre-Seed,3440500,USD,3440500,2021-12-30,Seed,Yes,,,,"KalendarAI agents generate meetings, new sign ups, and revenue on autopilot by engaging your potential customers from 300+ million","Artificial Intelligence (AI), Email, Internet, Machine Learning",,"New York, New York, United States, North America",https://kalendar.ai,$1M to $10M,Seed,3,3545500,USD,3545500,,"500 Global, Asymmetry Ventures, Eric Ries, Locus Ventures, Metaplanet, Village Global",6,,"91,365"
Venture Round - Empress Therapeutics,https://www.crunchbase.com/funding_round/empress-therapeutics-series-unknown--caa920f1,Empress Therapeutics,https://www.crunchbase.com/organization/empress-therapeutics,Venture - Series Unknown,50000000,USD,50000000,2023-06-21,,Yes,,,,Empress Therapeutics is to generate transformative drug candidates that get to the clinic faster and cheaper.,"Artificial Intelligence (AI), Biotechnology, Medical, Product Research",,"Cambridge, Massachusetts, United States, North America",http://www.empresstx.com,$1M to $10M,,1,50000000,USD,50000000,Flagship Pioneering,Flagship Pioneering,1,2,"91,261"
Seed Round - Banana,https://www.crunchbase.com/funding_round/banana-d87d-seed--2bf265f6,Banana,https://www.crunchbase.com/organization/banana-d87d,Seed,,,,2021-08-18,Seed,Yes,,,,"Banana is an ML API for developers to run ML workloads from a single line of code, without any learning curve.","Developer APIs, Information Technology, Machine Learning, Software",,"San Francisco, California, United States, North America",https://www.banana.dev,,Seed,3,3400000,USD,3400000,,Alumni Ventures,1,,"91,755"
Venture Round - Aqtual,https://www.crunchbase.com/funding_round/aqtual-series-unknown--1b8daf4f,Aqtual,https://www.crunchbase.com/organization/aqtual,Venture - Series Unknown,,,,2021-01-01,,Yes,,,,"Aqtual is a biotechnology diagnostics platform that provides healthcare solutions, novel technology and biochemistry for chronic disease.","Biotechnology, Machine Learning, Wellness",Women Founded,"Hayward, California, United States, North America",https://aqtual.com/,$1M to $10M,Early Stage Venture,2,16000000,USD,16000000,,Yu Galaxy,1,,"92,194"
Post-IPO Equity - Apple,https://www.crunchbase.com/funding_round/apple-post-ipo-equity--2ddfd6bc,Apple,https://www.crunchbase.com/organization/apple,Post-IPO Equity,1000000000,USD,1000000000,2016-05-16,,Yes,,,,"Apple is a corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Artificial Intelligence (AI), Consumer Electronics, Hardware, Mobile Devices, Operating Systems, Wearables",,"Cupertino, California, United States, North America",http://www.apple.com,$10B+,IPO,7,1170230000,USD,1170230000,Berkshire Hathaway,Berkshire Hathaway,1,,"94,016"
Seed Round - Augur,https://www.crunchbase.com/funding_round/augur-2-seed--e2be5727,Augur,https://www.crunchbase.com/organization/augur-2,Seed,,,,2016-06-01,Seed,Yes,,,,"Augur is an open-source, decentralized prediction market platform.","Bitcoin, Internet, Market Research, Prediction Markets, Predictive Analytics",,"San Francisco, California, United States, North America",http://www.augur.net,$10M to $50M,Private Equity,4,5300000,USD,5300000,KR1,"Block Ventures, KR1",2,,"94,358"
Funding Round - Voltage Park,https://www.crunchbase.com/funding_round/voltage-park-undisclosed--79105666,Voltage Park,https://www.crunchbase.com/organization/voltage-park,Funding Round,500000000,USD,500000000,2023-10-30,,Yes,,,,Voltage Park provides infrastructure for machine learning.,"Cloud Computing, Machine Learning",,"Berkeley, California, United States, North America",https://voltagepark.com/,,,1,500000000,USD,500000000,,,,,"95,446"
Venture Round - Stack AV,https://www.crunchbase.com/funding_round/stack-av-series-unknown--563bbb5e,Stack AV,https://www.crunchbase.com/organization/stack-av,Venture - Series Unknown,1000000000,USD,1000000000,2023-09-07,,Yes,,,,Stack AV operates in the transportation industry that develops advanced autonomous systems.,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Transportation",,"Pittsburgh, Pennsylvania, United States, North America",https://www.stackav.com,,,1,1000000000,USD,1000000000,SoftBank,SoftBank,1,1,"95,616"
